experiment,feature_source,selection_task,evaluation_task,k,accuracy,accuracy,balanced_accuracy,balanced_accuracy,macro_f1,macro_f1
,,,,,mean,std,mean,std,mean,std
generalization_mnist_fashion,supervised_domain_2class,domain_2class,domain_2class,50,0.9758017857142857,0.009983380893541076,0.9758017857142857,0.009983380893541073,0.975782234276702,0.010029347542983888
generalization_mnist_fashion,supervised_domain_2class,domain_2class,full_20class,50,0.4046589285714286,0.03745978773969075,0.3987281640896881,0.03764505182932974,0.36702848778438246,0.044920405924680336
generalization_mnist_fashion,supervised_full_20class,full_20class,domain_2class,50,0.9885357142857142,0.0014157317738273385,0.9885357142857142,0.0014157317738273372,0.9885355724035734,0.0014157731750028722
generalization_mnist_fashion,supervised_full_20class,full_20class,full_20class,50,0.8267178571428572,0.0023142862944397287,0.825688797779397,0.0023543553436312778,0.8248374470409765,0.002335655142417701
generalization_mnist_fashion,unsupervised,unsupervised,domain_2class,50,0.9790946428571429,0.0036880084622774303,0.9790946428571429,0.0036880084622774195,0.9790939865641594,0.003688147780652337
generalization_mnist_fashion,unsupervised,unsupervised,full_20class,50,0.8130928571428571,0.005211380383301818,0.8118670874990057,0.0053064574238509635,0.8103066187380618,0.005551292666072412
